,set,e,calo,diff,err
0,1A,500-600,1.0,0.00024372130977212692,0.006567325524568874
1,1A,500-600,2.0,-0.0035817275905927204,0.006911407272240188
2,1A,500-600,3.0,0.007953893742943308,0.006234701751586523
3,1A,500-600,4.0,-0.0016389884163814372,0.0062389050681615505
4,1A,500-600,5.0,-0.0010791616675973614,0.006082229588809712
5,1A,500-600,6.0,0.0022578634445835633,0.006405612951496021
6,1A,500-600,7.0,0.0017505631900363028,0.006420941992893583
7,1A,500-600,8.0,0.0015393768643505723,0.006131321440760224
8,1A,500-600,9.0,0.021641425637973555,0.006538266988967798
9,1A,500-600,10.0,0.006883738571339393,0.0059955274255083305
10,1A,500-600,11.0,0.012212942591347087,0.0063433687024971016
11,1A,500-600,12.0,0.0036597279098629087,0.0061106837374578435
12,1A,500-600,13.0,0.009155391583959727,0.006184088697069893
13,1A,500-600,14.0,0.005172358320827186,0.006929566836605729
14,1A,500-600,15.0,0.008765740610158446,0.0066636660987202
15,1A,500-600,16.0,0.007769781255028363,0.006174683701718023
16,1A,500-600,17.0,-0.0004407562031971679,0.006385289745142447
17,1A,500-600,18.0,0.01199520626831685,0.006381521948146058
18,1A,500-600,19.0,0.0020487760461023186,0.006166205676991938
19,1A,500-600,20.0,0.0044212937143228714,0.0065541066045774025
20,1A,500-600,21.0,0.005581949699781319,0.006661665495575105
21,1A,500-600,22.0,0.018947520646356963,0.00641899126611936
22,1A,500-600,23.0,0.015870524555992915,0.006585291118027632
23,1A,500-600,24.0,0.007174774366390579,0.006993500365578265
24,1D,700-800,1.0,0.001864066783419105,0.001988995070455423
25,1D,700-800,2.0,0.003370544185358426,0.0018029511035828531
26,1D,700-800,3.0,0.004487305839809608,0.0018700638330351785
27,1D,700-800,4.0,0.005714501368444758,0.001911667773928835
28,1D,700-800,5.0,0.0007591216636910758,0.0018728094137785473
29,1D,700-800,6.0,0.007300700760794143,0.0019126036968403826
30,1D,700-800,7.0,0.010149295363852673,0.001962694407466783
31,1D,700-800,8.0,0.0020991946822306318,0.0019243056442068266
32,1D,700-800,9.0,0.002227307702021619,0.0019156440022297752
33,1D,700-800,10.0,0.001994102369529571,0.0017812328703254246
34,1D,700-800,11.0,0.001260290380706408,0.0018087753913358074
35,1D,700-800,12.0,-0.0015175883150746472,0.0018808296045064175
36,1D,700-800,13.0,-0.002023900314259919,0.001709902371215886
37,1D,700-800,14.0,-0.003078333578375947,0.0017880996579580763
38,1D,700-800,15.0,-0.0005451456593696946,0.001943268750431587
39,1D,700-800,16.0,0.0008293093560283182,0.001971146387575811
40,1D,700-800,17.0,-0.004585296328571076,0.0018831737043234608
41,1D,700-800,18.0,0.0005406676350148132,0.0020246261750882393
42,1D,700-800,19.0,0.0015669838937739655,0.001715969854127099
43,1D,700-800,20.0,0.0035245628431397336,0.0018213858595416904
44,1D,700-800,21.0,0.0032348022575874325,0.0019288220816836958
45,1D,700-800,22.0,0.0008910947689670934,0.001874427005969889
46,1D,700-800,23.0,-0.0008868029355184603,0.0018015411145436207
47,1D,700-800,24.0,-0.00038052672083210837,0.0018738715998465876
48,1D,800-900,1.0,0.00042405367821629625,0.002011109348101739
49,1D,800-900,2.0,0.0024624473581766892,0.0019052126008991031
50,1D,800-900,3.0,0.005815420572158558,0.0019118369616012054
51,1D,800-900,4.0,0.0068140882718950024,0.0019658424499082875
52,1D,800-900,5.0,0.005908424055903083,0.0020476549686478905
53,1D,800-900,6.0,0.007412283572016065,0.0021273778993730957
54,1D,800-900,7.0,0.00865518545958821,0.0020104338642625407
55,1D,800-900,8.0,0.0003156193982825073,0.0019128832899244987
56,1D,800-900,9.0,-0.0006584461638468042,0.002127117092104742
57,1D,800-900,10.0,0.0016560976863431165,0.0019928243011458745
58,1D,800-900,11.0,0.0029942510033542646,0.001937737561846891
59,1D,800-900,12.0,0.0015150023396266477,0.001991907760754557
60,1D,800-900,13.0,-0.0012971552365783623,0.0017034678657567653
61,1D,800-900,14.0,-0.0008397426108395223,0.0020176367261812668
62,1D,800-900,15.0,-0.002826060682057374,0.0020080219941298167
63,1D,800-900,16.0,-0.001027810955655184,0.0021420374586161544
64,1D,800-900,17.0,-0.004442276925601618,0.002079937016029176
65,1D,800-900,18.0,-0.001035336741331605,0.0021501445903696803
66,1D,800-900,19.0,-0.0018374557724598617,0.0018293830774309856
