,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
0,1A,1,1100-1300,30-200,0.14447721513740036,-0.0006679755241630227,0.03279565912979522,0.0003589664204015434,0.9782172658954448
1,1A,2,1100-1300,30-200,-0.09367796064392053,-0.0010533740691924308,0.03663436696069847,0.0004007853034443782,0.9947127979817975
2,1A,3,1100-1300,30-200,0.8840936097490193,-0.00020641498576861434,0.03202571091074297,0.00035058529528569286,0.9917500074400004
3,1A,4,1100-1300,30-200,0.3454724963097955,-0.0004909982074653077,0.033560632161050076,0.0003672458637021623,1.067360314245067
4,1A,5,1100-1300,30-200,1.1348799422829599,-0.0001131528759628658,0.03233014620343811,0.0003539039198568115,1.0212473056839928
5,1A,6,1100-1300,30-200,0.7270708574683825,-0.00041328332219898886,0.03297116755182822,0.00036089179366687366,0.988854797266663
6,1A,7,1100-1300,30-200,1.204948900560864,-0.0001308496358655174,0.03503327830820893,0.0003836422849889914,1.1076108999455718
7,1A,8,1100-1300,30-200,0.1592021621590885,-0.0002770260313281288,0.03216091513960167,0.00035204567696242687,0.9970385134845129
8,1A,9,1100-1300,30-200,0.07000820583358208,-0.0004450817445139212,0.033876426667054406,0.00037105346466777126,0.9607221634109864
9,1A,10,1100-1300,30-200,0.27351296943667036,-0.0008019450576950869,0.03191564314886512,0.0003493633828669921,0.9843846673063034
10,1A,11,1100-1300,30-200,-0.14941307403431237,-0.0007063307805824906,0.03142458276007718,0.0003439944746650393,0.8890119895854026
11,1A,12,1100-1300,30-200,0.7741362804543747,-0.0006670700730469314,0.03318843454099123,0.0003631792370624179,1.0257371287279058
12,1A,13,1100-1300,30-200,0.4031273806601238,-0.0004465333542054423,0.02967661478738529,0.0003247052871136053,0.903728971077121
13,1A,14,1100-1300,30-200,0.2703629055837722,-0.0007482156953605115,0.030823543919924208,0.00033733774543772804,0.9065239117000894
14,1A,15,1100-1300,30-200,0.21398887206318024,-0.0004890012797328989,0.03266153861921179,0.00035758325182706747,1.0136996100821911
15,1A,16,1100-1300,30-200,0.5224852354863452,-0.00017789325516794324,0.03452562322128153,0.00037799813897903644,1.1322330447195692
16,1A,17,1100-1300,30-200,1.3845061960207135,-0.0015189242381996035,0.03335022517246418,0.00036492032719295635,1.0126893759496702
17,1A,18,1100-1300,30-200,1.4330876427700767,-0.0005129419083855734,0.034240258783654755,0.0003747121084280162,1.0650207305422823
18,1A,19,1100-1300,30-200,0.4519377722560758,-0.0007021854629333705,0.029982143554007527,0.000328189941110458,0.9037460062704946
19,1A,20,1100-1300,30-200,0.528244620383941,-0.0006983397180032575,0.034311217205413934,0.0003754257956951173,1.1139259320000376
20,1A,21,1100-1300,30-200,0.37031240390014997,-0.0012304139773146791,0.032235650686999594,0.0003527564882664069,0.9939764981209785
21,1A,22,1100-1300,30-200,1.0160827167556923,-0.001216925456023422,0.03336390987535703,0.00036531303627330237,1.07083769294921
22,1A,23,1100-1300,30-200,0.6356587791592717,-0.0009666767492609158,0.032624899665051624,0.0003571526265026592,0.9804361911243586
23,1A,24,1100-1300,30-200,0.6349300237935088,-0.0008990614043994656,0.032337907618059096,0.00035416414268781167,0.9313785912998732
24,1A,1,1300-1500,30-200,0.10138994820611535,-0.0007140297073596851,0.0343059131997339,0.0003757246451636239,1.089792365686523
25,1A,2,1300-1500,30-200,-0.13815311935383934,0.00019661715033823373,0.03742469407569716,0.0004096556219184367,1.0118263807725878
26,1A,3,1300-1500,30-200,0.9808077633454128,-0.0007817714249864732,0.032935326270501566,0.00036046159872060555,1.0282393208784764
27,1A,4,1300-1500,30-200,0.41125093091837905,-0.001098281789799097,0.032786770518730725,0.0003588139321124829,1.0060987148756433
28,1A,5,1300-1500,30-200,1.4770393853602566,4.077144632953198e-05,0.03304048756516189,0.00036163858850932543,1.0133475441090243
29,1A,6,1300-1500,30-200,0.8965091884864851,-0.00043153265849226727,0.03341814258653715,0.0003654957997174861,0.9993642254351496
