,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
0,1C,1,1100-1300,30-200,0.4028452584969077,-0.00033743877960212306,0.012977976492002026,0.0001420444479061897,0.9240818273737634
1,1C,2,1100-1300,30-200,0.18137674168297108,-0.0003434754512372687,0.016035629887493238,0.00017548021352342452,1.1492738647197271
2,1C,3,1100-1300,30-200,1.185920939698005,-0.00019433763330222283,0.011695074670671247,0.00012798263327796857,0.797431286958006
3,1C,4,1100-1300,30-200,0.5906659639174118,-0.00011638796346499521,0.012836930871069708,0.00014045906891944592,0.9423564773306556
4,1C,5,1100-1300,30-200,1.525109209078404,-0.0004633428060810498,0.013499673731251547,0.00014772099813786007,1.0698068933794669
5,1C,6,1100-1300,30-200,0.9980034066958654,-0.00028439675988393536,0.0130593208264993,0.00014290052586821765,0.9334958763453799
6,1C,7,1100-1300,30-200,1.5813166104752776,-0.0005456467316490373,0.013132507155086261,0.00014364411473477423,0.9383909462274468
7,1C,8,1100-1300,30-200,0.507549305863062,-0.00032730006189848605,0.012983672648290935,0.0001420055877035298,0.979824993427405
8,1C,9,1100-1300,30-200,0.39940331272622487,-0.0004899020150839042,0.01491101113691754,0.0001631831409137231,1.1198892963978937
9,1C,10,1100-1300,30-200,0.581260794364615,-0.0003589957427960205,0.013485648616338013,0.0001475707256578211,1.0583366643787928
10,1C,11,1100-1300,30-200,0.23373992359254858,-0.0006683203545338734,0.013364502886151337,0.00014622642876776669,0.9649209165979061
11,1C,12,1100-1300,30-200,1.2090426839020365,-0.0009457497085500065,0.013587831483310686,0.00014868508299085753,1.0347799821611117
12,1C,13,1100-1300,30-200,0.7141456780764076,-0.000502327311277606,0.013345217940139828,0.0001460408411013105,1.0971863739798684
13,1C,14,1100-1300,30-200,0.6816545783967617,-0.0008330809598627362,0.013140215390303793,0.0001438148473076273,0.9901963811036175
14,1C,15,1100-1300,30-200,0.691190971662984,-0.001128579412486792,0.013803059853800344,0.00015100199708695957,1.085263516601921
15,1C,16,1100-1300,30-200,0.967464953201038,-0.0007059993425461336,0.013313216306276533,0.0001456731566390432,1.0128332103262367
16,1C,17,1100-1300,30-200,1.7049154453139892,-0.0007558274966458892,0.013385721292769909,0.00014651944365920368,0.9771080066222555
17,1C,18,1100-1300,30-200,1.818282940946732,-0.0007052398010318018,0.013194355794818155,0.00014439734950946715,0.9521256722657757
18,1C,19,1100-1300,30-200,0.7633847581478101,-0.0006593894215932702,0.012817085593696128,0.0001402692700294211,0.9924244890979491
19,1C,20,1100-1300,30-200,0.9315268732236638,-0.0007357849642079651,0.012895380459876,0.00014109797465844067,0.94325347818658
20,1C,21,1100-1300,30-200,0.6565089835579057,-0.0007755311324762903,0.01225129842614328,0.00013406304111658523,0.8655494588345239
21,1C,22,1100-1300,30-200,1.2949951072607586,-0.0004639231701887881,0.012688927101443762,0.0001388326030066862,0.9310629292344393
22,1C,23,1100-1300,30-200,0.9751950633794915,-0.0007189854523666385,0.013645217409464137,0.00014935179810445366,1.0353039184871684
23,1C,24,1100-1300,30-200,0.9412226897141653,-0.0007058312257745658,0.013550896827931837,0.00014829767427571765,0.9813042601687353
24,1C,1,1300-1500,30-200,0.34436595174146467,-0.00018203430956717384,0.012556951079553581,0.00013742869841869117,0.8794814401217508
25,1C,2,1300-1500,30-200,0.17687065715839762,-7.977810138017935e-05,0.01473206013513748,0.00016122890275227644,0.944871576736103
26,1C,3,1300-1500,30-200,1.200690629897463,9.8084697951113e-06,0.01262507894207753,0.00013814413565225485,0.9086647392924089
27,1C,4,1300-1500,30-200,0.5985380723949708,-0.00010783894646408615,0.013723019184325816,0.00015014426477592878,1.0598065101400929
28,1C,5,1300-1500,30-200,1.8238586922588569,-0.0003745450766171691,0.01336156472965331,0.0001461812882026517,0.994843204488647
29,1C,6,1300-1500,30-200,1.140694907870297,-0.0003025363362086333,0.013764413181335809,0.0001505614856297124,1.0194012925659641
30,1C,7,1300-1500,30-200,1.798017818654891,-0.0005471787423806492,0.014272036890483937,0.00015616622049449688,1.0938950071196525
31,1C,8,1300-1500,30-200,0.5180680151777655,-0.00024326233377260916,0.013858126975883303,0.00015161534997197386,1.086349130301719
32,1C,9,1300-1500,30-200,0.32316927868643197,-0.0005720296556671476,0.014564234475071054,0.00015936712450196185,1.055565973216131
33,1C,10,1300-1500,30-200,0.5020288023162834,-0.0005535904881431244,0.013880773410332278,0.00015186696409026204,1.0996294616645088
34,1C,11,1300-1500,30-200,0.3580161293659021,-0.0010137935578301328,0.013993851889585636,0.00015314152613875252,1.0837168004659619
35,1C,12,1300-1500,30-200,0.8465505638020291,-0.0007826495798329691,0.012989040924117241,0.00014215646105178404,0.9499566372124806
36,1C,13,1300-1500,30-200,0.6406810189141674,-0.0006434039860244223,0.012224456619179909,0.0001337844674805184,0.974964786401176
37,1C,14,1300-1500,30-200,0.657726138406002,-0.0006663940724686219,0.013309711760368667,0.00014564168647097865,1.0018993027433751
38,1C,15,1300-1500,30-200,0.7291744557858256,-0.0010279465478249521,0.013796997909624822,0.00015097944686164275,1.0708421264730372
39,1C,16,1300-1500,30-200,0.8680893690624116,-0.000552808590424968,0.012573830588020907,0.0001375680027495586,0.8921777002042621
40,1C,17,1300-1500,30-200,1.6578878647882203,-0.0008129767349599815,0.013399620491297294,0.00014664348130839314,1.0090035615312674
41,1C,18,1300-1500,30-200,1.7546587703302186,-0.0007731803595484033,0.01367630530074939,0.00014964759869270613,1.038080068385136
42,1C,19,1300-1500,30-200,0.5684647829847543,-0.0007332191469667486,0.011894057408746338,0.00013014568139829708,0.9053798407124781
43,1C,20,1300-1500,30-200,0.8768392404627858,-0.0005326875575976664,0.01260496925617709,0.00013791296182706585,0.8816863338652281
44,1C,21,1300-1500,30-200,0.6797694060957952,-0.0005497494910050254,0.013527979522864662,0.00014800235905717285,1.0442840399970374
45,1C,22,1300-1500,30-200,1.26473413213731,-0.0005314128188860458,0.013198692071859818,0.00014439434798536166,0.9857624081289393
46,1C,23,1300-1500,30-200,0.8774411391643422,-0.000775887469833732,0.014024510494360043,0.00015346010409349393,1.1040099789303819
47,1C,24,1300-1500,30-200,0.9068195739610625,-0.0006557399679123607,0.014242108899288217,0.0001558516225312398,1.0854143587905027
